Id,ActivityHour,StepTotal
1503960366,2016-04-12,373
1503960366,2016-04-12,160
1503960366,2016-04-12,151
1503960366,2016-04-12,0
1503960366,2016-04-12,0
1503960366,2016-04-12,0
1503960366,2016-04-12,0
1503960366,2016-04-12,0
1503960366,2016-04-12,250
1503960366,2016-04-12,1864
1503960366,2016-04-12,676
1503960366,2016-04-12,360
1503960366,2016-04-12,253
1503960366,2016-04-12,221
1503960366,2016-04-12,1166
1503960366,2016-04-12,2063
1503960366,2016-04-12,344
1503960366,2016-04-12,489
1503960366,2016-04-12,1386
1503960366,2016-04-12,558
1503960366,2016-04-12,1733
1503960366,2016-04-12,684
1503960366,2016-04-12,89
1503960366,2016-04-12,338
1503960366,2016-04-13,144
1503960366,2016-04-13,0
1503960366,2016-04-13,0
1503960366,2016-04-13,36
1503960366,2016-04-13,0
1503960366,2016-04-13,0
1503960366,2016-04-13,0
1503960366,2016-04-13,126
1503960366,2016-04-13,275
1503960366,2016-04-13,1679
1503960366,2016-04-13,295
1503960366,2016-04-13,524
1503960366,2016-04-13,486
1503960366,2016-04-13,302
1503960366,2016-04-13,1577
1503960366,2016-04-13,493
1503960366,2016-04-13,299
1503960366,2016-04-13,695
1503960366,2016-04-13,1343
1503960366,2016-04-13,258
1503960366,2016-04-13,0
1503960366,2016-04-13,0
1503960366,2016-04-13,437
1503960366,2016-04-13,1766
1503960366,2016-04-14,81
1503960366,2016-04-14,58
1503960366,2016-04-14,0
1503960366,2016-04-14,0
1503960366,2016-04-14,0
1503960366,2016-04-14,0
1503960366,2016-04-14,0
1503960366,2016-04-14,0
1503960366,2016-04-14,0
1503960366,2016-04-14,902
1503960366,2016-04-14,1106
1503960366,2016-04-14,50
1503960366,2016-04-14,501
1503960366,2016-04-14,1779
1503960366,2016-04-14,1228
1503960366,2016-04-14,139
1503960366,2016-04-14,408
1503960366,2016-04-14,37
1503960366,2016-04-14,322
1503960366,2016-04-14,11
1503960366,2016-04-14,806
1503960366,2016-04-14,2670
1503960366,2016-04-14,362
1503960366,2016-04-14,0
1503960366,2016-04-15,83
1503960366,2016-04-15,75
1503960366,2016-04-15,124
1503960366,2016-04-15,0
1503960366,2016-04-15,0
1503960366,2016-04-15,26
1503960366,2016-04-15,0
1503960366,2016-04-15,7
1503960366,2016-04-15,55
1503960366,2016-04-15,21
